,id,original_title,popularity,release_date,title,vote_average,vote_count
2044,435577,Den 12. mann,16.967,2017-12-25,The 12th Man,7.3,403
2045,73624,O Homem do Futuro,5.815,2011-09-02,The Man from the Future,7.3,297
2046,2502,The Bourne Supremacy,24.927,2004-07-23,The Bourne Supremacy,7.3,6336
2047,512895,Lady and the Tramp,29.967,2019-11-12,Lady and the Tramp,7.3,1305
2048,407449,Lucky,9.06,2017-09-29,Lucky,7.3,437
2049,356296,Suburra,9.458,2015-10-14,Suburra,7.3,1110
2050,18785,The Hangover,111.52,2009-06-02,The Hangover,7.3,14542
2051,3086,The Lady Eve,7.999,1941-02-25,The Lady Eve,7.3,242
2052,338766,Hell or High Water,15.958,2016-08-11,Hell or High Water,7.3,3752
2053,191714,The Lunchbox,7.592,2013-09-20,The Lunchbox,7.3,553
2054,58857,十三人の刺客,41.75,2010-09-09,13 Assassins,7.3,859
2055,47653,The Immigrant,5.711,1917-06-17,The Immigrant,7.3,212
2056,552,Pane e tulipani,5.616,2000-03-03,Bread and Tulips,7.3,208
2057,550231,The Secret: Dare to Dream,11.871,2020-04-16,The Secret: Dare to Dream,7.3,441
2058,122917,The Hobbit: The Battle of the Five Armies,156.454,2014-12-10,The Hobbit: The Battle of the Five Armies,7.3,12057
2059,119450,Dawn of the Planet of the Apes,96.989,2014-06-26,Dawn of the Planet of the Apes,7.3,9544
2060,64246,カラフル,14.725,2010-08-21,Colorful,7.3,211
2061,10647,Pay It Forward,11.858,2000-10-20,Pay It Forward,7.3,1452
2062,112198,Le Prénom,6.89,2012-04-25,What's in a Name,7.3,1384
2063,49538,X-Men: First Class,3.547,2011-06-01,X-Men: First Class,7.3,11124
2064,44264,True Grit,19.32,2010-12-22,True Grit,7.3,4440
2065,17687,The Public Enemy,10.114,1931-04-23,The Public Enemy,7.3,239
2066,785663,Old Henry,15.402,2021-10-01,Old Henry,7.3,203
2067,400617,Phantom Thread,17.703,2017-12-25,Phantom Thread,7.3,2914
2068,50848,Le Nom des gens,6.252,2010-11-24,The Names of Love,7.3,245
2069,1491,The Illusionist,19.254,2006-08-18,The Illusionist,7.3,4086
2070,21032,Balto,18.997,1995-12-22,Balto,7.3,1722
2071,11197,Ondskan,9.9,2003-09-16,Evil,7.3,255
2072,502425,Escape from Pretoria,17.168,2020-03-06,Escape from Pretoria,7.3,948
2073,396263,GANTZ:O,29.722,2016-10-14,Gantz:O,7.3,547
2074,99861,Avengers: Age of Ultron,224.122,2015-04-22,Avengers: Age of Ultron,7.3,19971
2075,82825,Kahaani,7.494,2012-03-08,Kahaani,7.3,237
2076,21348,Kirikou et la sorcière,14.637,1998-12-09,Kirikou and the Sorceress,7.3,924
2077,17814,Assault on Precinct 13,11.297,1976-11-05,Assault on Precinct 13,7.3,793
2078,11450,Quiz Show,9.632,1994-08-25,Quiz Show,7.3,707
2079,1672,Le Professionnel,8.806,1981-10-21,The Professional,7.3,380
2080,41662,3 Women,7.615,1977-04-10,3 Women,7.3,200
2081,199,Star Trek: First Contact,17.207,1996-11-22,Star Trek: First Contact,7.3,1400
2082,177,The Fisher King,9.474,1991-09-20,The Fisher King,7.3,1049
2083,639933,The Northman,1698.212,2022-04-07,The Northman,7.3,1632
2084,14447,A Matter of Loaf and Death,11.152,2008-12-03,A Matter of Loaf and Death,7.3,375
2085,45612,Source Code,35.833,2011-03-30,Source Code,7.3,6958
2086,618355,Superman: Red Son,14.39,2020-02-24,Superman: Red Son,7.3,664
2087,591275,Fear Street: 1666,67.334,2021-07-14,Fear Street: 1666,7.3,1156
2088,537056,Batman: Hush,19.027,2019-07-19,Batman: Hush,7.3,641
2089,15359,Wonder Woman,18.644,2009-03-03,Wonder Woman,7.3,452
2090,11713,精武門,18.213,1972-03-22,Fist of Fury,7.3,696
2091,245168,Suffragette,9.511,2015-10-16,Suffragette,7.3,1415
2092,10112,The Aristocats,62.626,1970-12-24,The Aristocats,7.3,4220
2093,9603,Clueless,40.356,1995-07-19,Clueless,7.3,3510
2094,859,Dangerous Liaisons,11.144,1988-12-21,Dangerous Liaisons,7.3,897
2095,663870,Retfærdighedens ryttere,19.441,2020-11-19,Riders of Justice,7.3,453
2096,587272,Padre no hay más que uno,213.142,2019-08-02,Father There Is Only One,7.3,288
2097,261470,Perdona si te llamo amor,38.362,2014-06-20,Sorry If I Call You Love,7.3,331
2098,69735,Batman: Year One,12.796,2011-09-27,Batman: Year One,7.3,736
2099,12900,Conspiracy,10.619,2001-05-19,Conspiracy,7.3,295
2100,391713,Lady Bird,29.736,2017-09-08,Lady Bird,7.3,7087
2101,140212,내가 살인범이다,7.377,2012-11-08,Confession of Murder,7.3,226
2102,39148,ドラゴンボール 最強への道,51.852,1996-03-04,Dragon Ball: The Path to Power,7.3,260
2103,13597,Labyrinth,17.914,1986-06-27,Labyrinth,7.3,1892
2104,9474,Il mio nome è Nessuno,9.116,1973-12-13,My Name Is Nobody,7.3,747
2105,87,Indiana Jones and the Temple of Doom,32.423,1984-05-23,Indiana Jones and the Temple of Doom,7.3,7452
2106,259693,The Conjuring 2,151.573,2016-06-08,The Conjuring 2,7.3,6858
2107,43920,Dog Pound,7.695,2010-04-24,Dog Pound,7.3,300
2108,43361,Lo sceicco bianco,6.073,1952-09-27,The White Sheik,7.3,216
2109,19625,मुन्ना भाई एम बी बी एस,6.459,2003-12-19,Munna Bhai M.B.B.S.,7.3,211
2110,14003,劇場版 鋼の錬金術師 シャンバラを征く者,22.821,2005-07-21,Fullmetal Alchemist the Movie: Conqueror of Shamballa,7.3,261
2111,1888,The Fortune Cookie,6.542,1966-10-19,The Fortune Cookie,7.3,239
2112,618354,Superman: Man of Tomorrow,26.149,2020-08-23,Superman: Man of Tomorrow,7.3,339
2113,420622,Professor Marston and the Wonder Women,23.399,2017-10-13,Professor Marston and the Wonder Women,7.3,708
2114,390497,터널,15.583,2016-08-10,Tunnel,7.3,448
2115,361380,Barbie & Her Sisters in the Great Puppy Adventure,28.615,2015-10-07,Barbie & Her Sisters in the Great Puppy Adventure,7.3,219
2116,64956,Inception: The Cobol Job,7.82,2010-12-07,Inception: The Cobol Job,7.3,285
2117,11886,Robin Hood,44.012,1973-11-08,Robin Hood,7.3,3669
2118,10722,El día de la bestia,8.312,1995-10-20,The Day of the Beast,7.3,393
2119,591274,Fear Street: 1978,105.408,2021-07-08,Fear Street: 1978,7.3,1286
2120,518671,Shéhérazade,6.932,2018-09-05,Shéhérazade,7.3,205
2121,425373,The Miracle Season,13.725,2018-04-13,The Miracle Season,7.3,254
2122,152603,Only Lovers Left Alive,10.891,2013-12-12,Only Lovers Left Alive,7.3,1784
2123,36728,劇場版 NARUTO -ナルト- 疾風伝 火の意志を継ぐ者,79.59,2009-08-01,Naruto Shippuden the Movie: The Will of Fire,7.3,316
2124,15152,"OSS 117 : Le Caire, nid d'espions",10.24,2006-04-19,"OSS 117: Cairo, Nest of Spies",7.3,1387
2125,11868,Dracula,10.833,1958-05-22,Dracula,7.3,432
2126,10139,Milk,14.25,2008-11-05,Milk,7.3,1823
2127,499932,The Devil All the Time,18.668,2020-09-11,The Devil All the Time,7.3,2590
2128,454983,The Kissing Booth,96.761,2018-05-11,The Kissing Booth,7.3,6521
2129,93289,Mais où est donc passée la 7ème compagnie ?,6.818,1973-05-24,Now Where Did the Seventh Company Get to?,7.3,278
2130,61791,Rise of the Planet of the Apes,69.518,2011-08-03,Rise of the Planet of the Apes,7.3,9967
2131,16227,Dark Passage,7.348,1947-09-05,Dark Passage,7.3,247
2132,17159,Eddie Murphy Raw,9.022,1987-11-25,Eddie Murphy Raw,7.3,263
2133,9325,The Jungle Book,78.039,1967-10-18,The Jungle Book,7.3,5310
2134,6145,Fracture,22.35,2007-04-19,Fracture,7.3,3236
2135,549053,Last Christmas,19.179,2019-11-07,Last Christmas,7.3,1881
2136,9833,The Phantom of the Opera,13.411,2004-12-08,The Phantom of the Opera,7.3,1326
2137,324552,John Wick: Chapter 2,124.844,2017-02-08,John Wick: Chapter 2,7.3,10262
2138,16085,Funny Girl,10.041,1968-09-19,Funny Girl,7.3,312
2139,813,Airplane!,22.201,1980-07-02,Airplane!,7.3,3562
2140,246,座頭市,7.325,2003-09-06,Zatoichi,7.3,667
2141,612368,Au nom de la terre,5.289,2019-09-25,In the Name of the Land,7.3,242
2142,581734,Nomadland,21.102,2020-12-04,Nomadland,7.3,2275
2143,392982,Marshall,11.214,2017-10-13,Marshall,7.3,498
2144,80184,La cara oculta,31.885,2011-09-16,The Hidden Face,7.3,812
2145,8393,The Gods Must Be Crazy,22.776,1980-09-10,The Gods Must Be Crazy,7.3,872
2146,227,The Outsiders,21.188,1983-03-25,The Outsiders,7.3,979
2147,70670,Hodejegerne,13.454,2011-08-26,Headhunters,7.3,977
2148,8424,Jeux d'enfants,10.702,2003-09-17,Love Me If You Dare,7.3,1570
2149,1830,Lord of War,38.119,2005-09-16,Lord of War,7.3,3739
2150,837,Videodrome,13.739,1983-02-04,Videodrome,7.3,1646
2151,766,Army of Darkness,27.668,1992-10-31,Army of Darkness,7.3,2416
2152,436,"María, llena eres de gracia",8.662,2004-01-18,Maria Full of Grace,7.3,301
2153,121875,Dans la maison,8.371,2012-09-26,In the House,7.3,673
2154,18311,阿飛正傳,13.586,1990-12-15,Days of Being Wild,7.3,328
2155,16563,Seven Brides for Seven Brothers,8.14,1954-07-22,Seven Brides for Seven Brothers,7.3,437
2156,15255,Undisputed II: Last Man Standing,72.244,2006-04-11,Undisputed II: Last Man Standing,7.3,586
2157,10086,C'est arrivé près de chez vous,9.358,1992-08-20,Man Bites Dog,7.3,681
2158,21641,The Damned United,8.465,2009-03-27,The Damned United,7.3,509
2159,922,Dead Man,8.133,1995-12-23,Dead Man,7.3,1217
2160,1802,La Cérémonie,6.424,1995-08-30,La Cérémonie,7.3,226
2161,941,Lethal Weapon,27.201,1987-03-06,Lethal Weapon,7.3,3684
2162,209274,Ida,6.117,2013-10-25,Ida,7.3,794
2163,10795,Ne le dis à personne,7.489,2006-11-01,Tell No One,7.3,1124
2164,340,Everything Is Illuminated,7.508,2005-09-16,Everything Is Illuminated,7.3,615
2165,41201,L'illusionniste,10.059,2010-02-16,The Illusionist,7.3,462
2166,11305,Mystery Train,8.45,1989-09-06,Mystery Train,7.3,308
2167,10360,Hunger,7.836,2008-05-15,Hunger,7.3,933
2168,1265,Bridge to Terabithia,39.675,2007-02-15,Bridge to Terabithia,7.3,3879
2169,7340,Carrie,29.844,1976-11-03,Carrie,7.3,2962
2170,6619,Morte a Venezia,8.816,1971-03-01,Death in Venice,7.3,351
2171,5548,RoboCop,28.01,1987-07-17,RoboCop,7.3,3994
2172,3543,Out of Rosenheim,7.404,1987-11-12,Bagdad Cafe,7.3,277
2173,1088,Whale Rider,7.89,2003-01-30,Whale Rider,7.3,292
2174,861,Total Recall,28.423,1990-06-01,Total Recall,7.3,4664
2175,385128,F9,250.627,2021-05-19,F9,7.3,5457
2176,487491,"Fala Sério, Mãe!",4.866,2017-12-28,"Fala Sério, Mãe!",7.3,209
2177,453278,The Rider,12.304,2018-03-21,The Rider,7.3,375
2178,68734,Argo,15.7,2012-03-22,Argo,7.3,7142
2179,19908,Zombieland,87.464,2009-10-07,Zombieland,7.3,10465
2180,9267,And Now for Something Completely Different,9.268,1971-09-28,And Now for Something Completely Different,7.3,397
2181,1254,"Je vais bien, ne t'en fais pas",8.326,2006-09-06,"Don't Worry, I'm Fine",7.3,489
2182,583903,Our Friend,19.368,2019-02-25,Our Friend,7.3,208
2183,424488,Megan Leavey,16.503,2017-06-09,Megan Leavey,7.3,625
2184,220289,Coherence,17.398,2013-09-19,Coherence,7.3,2186
2185,2657,Pleasantville,10.476,1998-09-17,Pleasantville,7.3,1380
2186,594530,Lamp Life,32.155,2020-01-31,Lamp Life,7.3,234
2187,374205,ワンピース　フィルム GOLD,104.428,2016-07-23,One Piece Film: GOLD,7.3,347
2188,15487,The Greatest Game Ever Played,14.201,2005-09-30,The Greatest Game Ever Played,7.3,358
2189,12162,The Hurt Locker,18.327,2008-10-10,The Hurt Locker,7.3,4649
2190,1850,Man on the Moon,10.798,1999-12-22,Man on the Moon,7.3,1401
2191,300671,13 Hours: The Secret Soldiers of Benghazi,65.512,2016-01-14,13 Hours: The Secret Soldiers of Benghazi,7.3,2832
